Time Created,Tweet_Text,Username,Additional Hashtags,Account Followers,Number Retweets,Number Likes
2020-12-22 23:43:40,"b'TB on the money here. Massive national effort \xe2\x80\x94 military, public and private sectors \xe2\x80\x94 required to vaccinate as many people as possible during next twelve weeks. Hope this is indeed how \xe2\x81\xa6@nadhimzahawi\xe2\x81\xa9 is thinking. #pfizer #vaccine #OxfordVaccine  https://t.co/hzzok7S7Ch'",b'pdfleet',"['pfizer', 'vaccine', 'OxfordVaccine']",33,0,1
2020-12-22 23:30:48,"b'@realDonaldTrump A GERMAN HUSBAND AND WIFE TEAM FROM GERMANY DISCOVERED THE #VACCINE W HELP FROM #Pfizer (WHO DID NOT PARTICIPATE IN WARP SPEED) 1 Term, Impeached, #Covid Genocidal Madman! https://t.co/Cta46bHqeC'",b'BytheEm',"['VACCINE', 'Pfizer', 'Covid']",1711,0,2
2020-12-22 23:29:13,"b'@helena_jennie @Spacettf @VanessaBeeley Covid19 killed 10,000 Americans, it\xe2\x80\x99s vaccines projected to damage 6 million of them. #vaccine #Pfizer #Moderna'",b'conectr',"['vaccine', 'Pfizer', 'Moderna']",5528,1,2
2020-12-22 23:17:31,b'BREAKING: U.S. nears deal with #Pfizer for up to 100M additional doses of its #COVID19 #vaccine.  #COVID #vaccines https://t.co/WYMhcIo73N',b'hcrubin2009',"['Pfizer', 'COVID19', 'vaccine', 'COVID', 'vaccines']",330,0,0
2020-12-22 23:00:50,b'Are you ready for the new normal? #vaccine #Pfizer #Moderna #Novavax #VacunaCOVID19 #chill https://t.co/iAAdFIVvXG',b'vaccineandchill',"['vaccine', 'Pfizer', 'Moderna', 'Novavax', 'VacunaCOVID19', 'chill']",0,2,21
2020-12-22 22:59:08,b'#gulfnews #newsdubai #coronavirus #pandemic #recentnews #headlines #shortnews #uaenews #covid19 #covidsymptoms #monsoon #abudhabi #dubai #covid19mask  #uaegov #dubaimedia #abudhabimedia #sharjahnews #pfizer #uk#flightban #ukcovid #vaccine  #abudhabimedia   Courtesy : Gulf News https://t.co/UZko9hUQdB',b'Inshortsgulf',"['gulfnews', 'newsdubai', 'coronavirus', 'pandemic', 'recentnews', 'headlines', 'shortnews', 'uaenews', 'covid19', 'covidsymptoms', 'monsoon', 'abudhabi', 'dubai', 'covid19mask', 'uaegov', 'dubaimedia', 'abudhabimedia', 'sharjahnews', 'pfizer', 'ukcovid', 'vaccine', 'abudhabimedia']",161,0,1
2020-12-22 22:55:58,"b'#BREAKING \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 U.S. nears deal with #Pfizer for up to 100M additional doses of its #COVID19 vaccine, a source tells. #COVID $PFE \xf0\x9f\x92\x89'",b'MarcoDaCostaFX',"['BREAKING', 'Pfizer', 'COVID19', 'COVID']",4917,0,0
2020-12-22 22:45:00,"b'24 hours after receiving our #covid19 #vaccine shot 1 of 2. We are both feeling wonderful, and have already started to count down the days until our second shot! \xf0\x9f\x92\x89  #shotofhope #righttobarearms #IGotTheShot #pfizer @pfizer https://t.co/wfrlxCDYwF'",b'krupali',"['covid19', 'vaccine', 'shotofhope', 'righttobarearms', 'IGotTheShot', 'pfizer']",8621,1,14
2020-12-22 22:41:31,b'#Pfizer Nears Deal With Trump Administration to Provide More #Vaccine Doses #COVID https://t.co/23CRZQpDHy',b'majaloca',"['Pfizer', 'Vaccine', 'COVID']",1232,0,0
2020-12-22 22:40:14,b'#Mexico Close to Start Vaccination With Delivery of #Pfizer Shot. \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd #COVID19 #COVID  https://t.co/kbyx08q9tj',b'MarcoDaCostaFX',"['Mexico', 'Pfizer', 'COVID19', 'COVID']",4917,0,0
2020-12-22 22:37:18,b'Extra doses of #PfizerVaccine being found in vials - an early Christmas present for frontline providers in queue for their #vaccine. #Pfizer #OrangeCounty https://t.co/GP9opHjGkr feat. @providence @providence @StJosephOrange via @abc7 @abc7tony',b'JamesChisum',"['PfizerVaccine', 'vaccine', 'Pfizer', 'OrangeCounty']",941,1,1
2020-12-22 22:33:03,b'Top federal infectious-disease specialist Anthony S. #Fauci and Health and Human Services Secretary Alex Azar received their first doses of the #Pfizer-#BioNTech #vaccine publicly on Tuesday. #Covid_19 #coronavirus',b'Moritzbhg',"['Fauci', 'Pfizer', 'BioNTech', 'vaccine', 'Covid_19', 'coronavirus']",2158,0,0
2020-12-22 22:30:54,"b'#German firm #BioNTech said Tuesday it is \xe2\x80\x9cconfident\xe2\x80\x9d its #coronavirus #vaccine, produced with #US. pharmaceutical giant #Pfizer, will be effective against the new variant identified in Britain, but that a new version could be developed within six weeks if necessary. #Covid_19'",b'Moritzbhg',"['German', 'BioNTech', 'coronavirus', 'vaccine', 'US', 'Pfizer', 'Covid_19']",2158,0,0
2020-12-22 22:15:44,"b'#VACCINE \xe2\x98\xa0\xef\xb8\x8f #Pfizer   ""They get the shot, that night they have a fever of a hundred and three, they go to sleep, and three months later their brain is gone.""   Via Robert F. Kennedy Jr @RobertKennedyJr'",b'mslove_TLB',"['VACCINE', 'Pfizer']",1901,10,19
2020-12-22 22:10:35,"b'Ok here\xe2\x80\x99s a little story, I just got COVID-19 Vaccine at the Dallas VA Medical Center this morning, 2 mins after the shot I feel light-headed and have little bit sway when I walk. That\xe2\x80\x99s the only side-effects to me so far today. ##Pfizer #COVID19 #vaccine https://t.co/OqN9vcv5PQ'",b'garuda17845',"['Pfizer', 'COVID19', 'vaccine']",615,0,0
2020-12-22 22:08:15,"b""#DeathSantis says that #Florida has less #COVID19 #Vaccine because of logistics problems. #Pfizer issued a press release contradicting #Covidiot #DeSantis, saying there is no holdup, but that Florida hasn't ordered enough vaccine soon enough. #LockHimUp #MaskUp you #moron https://t.co/o1FmN4bpZN https://t.co/rXHYz7FI5c""",b'MANFORALLSEAS',"['DeathSantis', 'Florida', 'COVID19', 'Vaccine', 'Pfizer', 'Covidiot', 'DeSantis', 'LockHimUp', 'MaskUp', 'moron']",46,0,0
2020-12-22 22:04:53,"b""We say No to #Pfizer #vaccine! #Greek people aren't lab rats! The #vaccination is a treacherous game played on #Humanity by #BillGatesBioTerrorist and the #NWOEvilElites. #people of the #Earth wake up before the #global #Dictature is imposed! @ellinikilisi https://t.co/6KpkqhhduG""",b'VoyagerStII',"['Pfizer', 'vaccine', 'Greek', 'vaccination', 'Humanity', 'BillGatesBioTerrorist', 'NWOEvilElites', 'people', 'Earth', 'global', 'Dictature']",119,0,0
2020-12-22 21:54:34,"b""What on earth is it going to take for people to wake up to the fact we're being played for fools, hats off to Herr Schwab and his band of psychos they've certainly got our numbers... too dumb to count past one https://t.co/MW3Hkcn01Y #KentLorryPark #vaccine #pfizer #covid19 #scam https://t.co/edbTkTkrcs""",b'steips57',"['KentLorryPark', 'vaccine', 'pfizer', 'covid19', 'scam']",230,0,1
